contract_id,category,n_observations,duration_hours,avg_spread,avg_spread_pct,avg_volume,total_volume,avg_volatility,max_volatility,avg_depth_resilience,spread_collapse_slope,liquidity_resilience,burst_intensity,regime_entropy,dominant_regime,regime_pct_1,regime_pct_3,regime_pct_4,regime_pct_5,regime_pct_2,lifecycle_spread_early,lifecycle_spread_mid_early,lifecycle_spread_mid_late,lifecycle_spread_late,lifecycle_volume_early,lifecycle_volume_mid_early,lifecycle_volume_mid_late,lifecycle_volume_late,lifecycle_volatility_short_early,lifecycle_volatility_short_mid_early,lifecycle_volatility_short_mid_late,lifecycle_volatility_short_late
KXRAINNYC-25AUG21-T0,Weather,2280,37.983333333333334,4.065789473684211,0.04915144360349676,35.20701754385965,80272,0.0009673585287736433,0.05654424770689121,0.026872246696035242,-11.05384065160713,1.0,6.346492360946908,0.1217733481923201,1,96.3157894736842,0.8333333333333334,2.06140350877193,0.7456140350877193,0.043859649122807015,8.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXHMONTH-25FEB,Weather,67400,1123.3166666666666,12.219525222551928,0.8318385859107162,3.15146884272997,212409,0.004428002028777863,3.5777087639996634,0.006499480635109066,-55.896989977652225,1.0,4.890033471000697,0.05082590431144812,1,98.74629080118694,0.5400593471810089,0.46439169139465875,0.050445103857566766,0.19881305637982197,50.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXHIGHMIA-25NOV10-B85.5,Weather,2280,37.983333333333334,4.55,0.3203124620453856,21.496052631578948,49011,0.04442933867497795,2.332839316089164,0.08202643171806166,-3.7852742333695057,1.0,6.023745901359205,0.2133822407500175,1,93.11403508771929,2.5877192982456143,1.4035087719298245,1.3596491228070176,1.5350877192982455,5.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXHIGHNY-25OCT28-T54,Weather,2280,37.983333333333334,5.332017543859649,0.899393144037496,41.925877192982455,95591,0.05107541128600852,2.0124611797498106,0.1205726872246696,-10.913794734534763,1.0,4.06065283769346,0.46649655059169515,1,80.43859649122807,3.684210526315789,3.4649122807017543,8.333333333333332,4.078947368421053,9.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04995089348643979,0.0
KXHIGHNY-25OCT12-B61.5,Weather,2280,37.983333333333334,3.5026315789473683,1.0648579009533432,51.30263157894737,116970,0.054664259272655794,5.580514501725627,0.08303964757709252,-4.659293015528771,1.0,6.510811293735525,0.30015946074819805,1,89.3859649122807,3.070175438596491,1.7543859649122806,3.1140350877192984,2.675438596491228,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXHIGHMIA-25OCT21-B88.5,Weather,2280,37.983333333333334,4.87719298245614,0.5213309508895975,22.11622807017544,50425,0.05791292707375761,7.155417527999327,0.12202643171806167,-9.623729204642517,1.0,8.438944931162052,0.3157739079385532,1,88.28947368421053,4.517543859649123,1.4912280701754386,4.254385964912281,1.4473684210526316,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017200522903846785,0.0
KXHIGHNY-25OCT29-B54.5,Weather,2280,37.983333333333334,3.2592105263157896,0.6001130003163248,38.85877192982456,88598,0.00969878792528427,0.4513907462700675,0.08083700440528635,-4.045182168485686,1.0,5.255507949295612,0.32784983844780996,1,87.93859649122807,4.166666666666666,3.640350877192983,2.807017543859649,1.4473684210526316,4.0,4.5,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00868457774066652,0.0
KXRAINNYC-25JUN28-T0,Weather,2148,35.78333333333333,44.29841713221602,0.6231800083401015,92.88454376163874,199516,0.007051951020433501,0.7334302966199311,0.007951356407857811,-61.960481814329626,1.0,8.252674164222343,0.040894857750260936,1,99.02234636871509,0.0931098696461825,0.23277467411545624,0.5586592178770949,0.0931098696461825,58.0,58.0,58.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
KXHIGHLAX-25NOV03-B70.5,Weather,1535,25.566666666666666,3.2996742671009773,0.9847104862312396,136.1231270358306,208949,0.21608791683905168,43.93969720085757,0.09468852459016394,-3.6427931596091208,1.0,11.760315576780949,0.3446426205855406,1,86.57980456026058,0.8469055374592834,3.713355048859935,2.4755700325732897,6.384364820846905,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KXHIGHNY-25NOV06-B53.5,Weather,2280,37.983333333333334,1.868421052631579,1.317145068411366,78.63026315789473,179277,0.014538979101236155,0.7395193634306602,0.05982378854625551,-3.7262557973188386,1.0,4.974341744338245,0.3128431792432876,1,88.7280701754386,1.7982456140350878,2.368421052631579,3.070175438596491,4.035087719298246,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
